timestep,reward
4,2.9514
31502,5.3046
59015,3.4628
85983,5.3793
114575,4.4552
144523,2.2175
176082,1.0753
208552,3.0662
241870,3.24
275447,5.993
308909,2.572
342492,-0.718
376046,1.759
410574,-3.033
445500,-1.322
481158,6.31
516927,6.83
552069,7.026
587884,3.016
623178,1.127
658816,-0.621
694489,-3.204
730694,-1.721
766338,-1.94
802392,-4.424
839313,1.662
876481,-3.28
912997,-0.47
950094,2.739
987005,-1.015
1025060,3.498
1062518,-0.761
1100816,-9.871
1138896,-3.238
1177001,-1.633
1216310,0.809
1256508,1.618
1297238,0.556
1337338,-1.918
1378407,-0.753
1418875,1.633
1460686,3.727
1504159,2.445
1546828,3.041
1590949,-1.5
1635689,0.757
1680790,-3.451
1726210,-4.111
1771578,-9.444
1816551,0.117
1861943,-4.709
1907574,-2.352
1954269,-3.351
2001940,-3.394
2049952,-4.645
2098623,2.673
2148101,-0.686
2196874,2.572
2246222,-1.602
2296085,-3.348
2345745,1.255
2395560,1.139
2446245,0.142
2496806,-3.607
2548280,0.133
2599351,-1.982
2649210,-0.558
2700775,-0.124
2753327,-3.189
2805930,-1.303
2857421,3.058
2909984,-1.267
2962976,-2.154
3016241,0.427
3069810,3.822
3121391,0.368
3172429,4.517
3224717,1.761
3276374,-0.657
3328961,-0.728
3381585,-2.775
3435206,2.431
3487370,-2.875
3539350,0.755
3592382,1.213
3643741,1.942
3695852,-0.48
3749420,-1.173
3801324,0.586
3854311,0.263
3906576,0.545
3958851,-2.577
4011029,-2.419
4062761,0.917
4114826,-0.777
4166643,5.506
4218704,-1.177
4271572,2.959
4325716,-3.792
4378975,-4.755
4431846,-1.98
4484219,-0.016
4494666,-2.82
